A	filename	PSG filename
B	id1	subject identification
C	cyc_def_option	"Method used to split the sleep period in sleep cycles, it defines the criteria. I.e. : ""Minimum criteria""  ""Aeschbach 1993""  ""Feinberg 1979"""
D	cyc_def_include_soremp	Include a REM sleep periods (REMP) that occur within 15 minutes of sleep onset.
E	cyc_def_include_last_incomplete	Include the last sleep cycle even if the NREM period (NREMP) or REMP does not meet the minimum duration criteria.
F	cyc_def_rem_min	Minimum length without R stage to end the REMP.
G	cyc_def_first_nrem_min	Minimum length of the first NREMP in minutes.
H	cyc_def_mid_last_nrem_min	Minimum length of the middle and last NREMP in minutes.
I	cyc_def_last_nrem_valid_min	Minimum length of the NREMP in minutes to validate the last sleep cycle.
J	cyc_def_first_rem_min	Minimum length of the first REMP in minutes.
K	cyc_def_mid_rem_min	Minimum length of the middle REMP in minutes.
L	cyc_def_last_rem_min	Minimum length of the last REMP in minutes.
M	cyc_def_move_end_rem	"Move the end of the REMP to the start of the following NREMP, eliminating the temporal ""gap"" between 2 cycles."
N	cyc_def_sleep_stages	"List of valid stages used to define the sleep cycles:  ""N1, N2, N3, R"" or ""N2, N3, R"""
O	sleep_cycle_count	Number of sleep cycles
P	desaturation_drop_percent	"Drop level (%) for the oxygen desaturation ""3 or 4"""
Q	max_slope_drop_sec	"The maximum duration (s) during which the oxygen level is dropping ""120 or 20"""
R	min_hold_drop_sec	"Minimum duration (s) during which the oxygen level drop is maintained ""10 or 5"""
S	invalid_events	Group and name annotation labels removed from the oxygen saturation analysis
T	chan_label	The label of the oxygen channel used for the anlysis
U	chan_fs	The sampling rate (Hz) of the oxygen channel used for the anlysis
V	sleep_period_min	Sleep Period (min): The duration (min) from the first epoch scored as sleep (N1, N2, N3, R) to the final awakening (includes last epoch scored as sleep).
W	total_invalid_min	Invalid duration for oxygen saturation analysis (min).
X	total_valid_min	Valid (no invalid section) duration for oxygen saturation analysis (min) during the sleep period.
Y	total_saturation_avg	The average value of the oxygen saturation (%) during the valid sleep period (total_valid_min).
Z	total_saturation_std	The standard deviation value of the oxygen saturation (%) during the valid sleep period.
AA	total_saturation_min	The minimum value of the oxygen saturation (%) during the valid sleep period.
AB	total_saturation_max	The maximum value of the oxygen saturation (%) during the valid sleep period.
AC	total_below_96_percent	The percentual time spent (%) with an oxygen saturation under 96 % during the valid sleep period.
AD	total_below_94_percent	The percentual time spent (%) with an oxygen saturation under 94 % during the valid sleep period.
AE	total_below_92_percent	The percentual time spent (%) with an oxygen saturation under 92 % during the valid sleep period.
AF	total_below_90_percent	The percentual time spent (%) with an oxygen saturation under 90 % during the valid sleep period.
AG	total_below_88_percent	The percentual time spent (%) with an oxygen saturation under 88 % during the valid sleep period.
AH	total_below_85_percent	The percentual time spent (%) with an oxygen saturation under 85 % during the valid sleep period.
AI	total_below_80_percent	The percentual time spent (%) with an oxygen saturation under 80 % during the valid sleep period.
AJ	total_below_75_percent	The percentual time spent (%) with an oxygen saturation under 75 % during the valid sleep period.
AK	total_below_70_percent	The percentual time spent (%) with an oxygen saturation under 70 % during the valid sleep period.
AL	total_below_60_percent	The percentual time spent (%) with an oxygen saturation under 60 % during the valid sleep period.
AM	third1_saturation_avg	The average value of the oxygen saturation (%) for the first third of the valid sleep period.
AN	third1_saturation_std	The standard deviation value of the oxygen saturation (%) for the first third of the valid sleep period.
AO	third1_saturation_min	The minimum value of the oxygen saturation (%) for the first third of the valid sleep period.
AP	third1_saturation_max	The maximum value of the oxygen saturation (%) for the first third of the valid sleep period.
AQ	third2_saturation_avg	The average value of the oxygen saturation (%) for the second third of the valid sleep period.
AR	third2_saturation_std	The standard deviation value of the oxygen saturation (%) for the second third of the valid sleep period.
AS	third2_saturation_min	The minimum value of the oxygen saturation (%) for the second third of the valid sleep period.
AT	third2_saturation_max	The maximum value of the oxygen saturation (%) for the second third of the valid sleep period.
AU	third3_saturation_avg	The average value of the oxygen saturation (%) for the last third of the valid sleep period.
AV	third3_saturation_std	The standard deviation value of the oxygen saturation (%) for the last third of the valid sleep period.
AW	third3_saturation_min	The minimum value of the oxygen saturation (%) for the last third of the valid sleep period.
AX	third3_saturation_max	The maximum value of the oxygen saturation (%) for the last third of the valid sleep period.
AY	half1_saturation_avg	The average value of the oxygen saturation (%) for the first half of the valid sleep period.
